KIND_OF_PART,SERIAL_NUMBER,BATCH_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,COMMENT_DESCRIPTION,MANUFACTURER,PRODUCTION_DATE
ECON-T,0000213,0003-PS-0800116,321ICECT0000213,ECON-T from tray 08001 at location 13,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000214,0003-PS-0800117,321ICECT0000214,ECON-T from tray 08001 at location 14,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000215,0003-PS-0800118,321ICECT0000215,ECON-T from tray 08001 at location 15,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000216,0003-PS-0800119,321ICECT0000216,ECON-T from tray 08001 at location 16,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000217,0003-PS-0800120,321ICECT0000217,ECON-T from tray 08001 at location 17,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000218,0003-PS-0800121,321ICECT0000218,ECON-T from tray 08001 at location 18,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000219,0003-PS-0800122,321ICECT0000219,ECON-T from tray 08001 at location 19,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000220,0003-PS-0800123,321ICECT0000220,ECON-T from tray 08001 at location 20,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000221,0003-PS-0800124,321ICECT0000221,ECON-T from tray 08001 at location 21,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000222,0003-PS-0800125,321ICECT0000222,ECON-T from tray 08001 at location 22,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000223,0003-PS-0800126,321ICECT0000223,ECON-T from tray 08001 at location 23,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000224,0003-PS-0800127,321ICECT0000224,ECON-T from tray 08001 at location 24,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000225,0003-PS-0800128,321ICECT0000225,ECON-T from tray 08001 at location 25,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000226,0003-PS-0800129,321ICECT0000226,ECON-T from tray 08001 at location 26,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000227,0003-PS-0800130,321ICECT0000227,ECON-T from tray 08001 at location 27,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000228,0003-PS-0800131,321ICECT0000228,ECON-T from tray 08001 at location 28,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000229,0003-PS-0800132,321ICECT0000229,ECON-T from tray 08001 at location 29,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000230,0003-PS-0800133,321ICECT0000230,ECON-T from tray 08001 at location 30,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000231,0003-PS-0800134,321ICECT0000231,ECON-T from tray 08001 at location 31,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000232,0003-PS-0800135,321ICECT0000232,ECON-T from tray 08001 at location 32,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000233,0003-PS-0800136,321ICECT0000233,ECON-T from tray 08001 at location 33,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000234,0003-PS-0800137,321ICECT0000234,ECON-T from tray 08001 at location 34,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000235,0003-PS-0800138,321ICECT0000235,ECON-T from tray 08001 at location 35,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000236,0003-PS-0800139,321ICECT0000236,ECON-T from tray 08001 at location 36,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000237,0003-PS-0800140,321ICECT0000237,ECON-T from tray 08001 at location 37,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000238,0003-PS-0800141,321ICECT0000238,ECON-T from tray 08001 at location 38,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000239,0003-PS-0800142,321ICECT0000239,ECON-T from tray 08001 at location 39,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000240,0003-PS-0800143,321ICECT0000240,ECON-T from tray 08001 at location 40,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000241,0003-PS-0800144,321ICECT0000241,ECON-T from tray 08001 at location 41,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000243,0003-PS-0800145,321ICECT0000243,ECON-T from tray 08001 at location 43,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000244,0003-PS-0800146,321ICECT0000244,ECON-T from tray 08001 at location 44,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000245,0003-PS-0800147,321ICECT0000245,ECON-T from tray 08001 at location 45,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000246,0003-PS-0800148,321ICECT0000246,ECON-T from tray 08001 at location 46,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000247,0003-PS-0800149,321ICECT0000247,ECON-T from tray 08001 at location 47,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000248,0003-PS-0800150,321ICECT0000248,ECON-T from tray 08001 at location 48,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000249,0003-PS-0800151,321ICECT0000249,ECON-T from tray 08001 at location 49,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000250,0003-PS-0800152,321ICECT0000250,ECON-T from tray 08001 at location 50,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000252,0003-PS-0800153,321ICECT0000252,ECON-T from tray 08001 at location 52,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000253,0003-PS-0800154,321ICECT0000253,ECON-T from tray 08001 at location 53,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000254,0003-PS-0800155,321ICECT0000254,ECON-T from tray 08001 at location 54,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000255,0003-PS-0800156,321ICECT0000255,ECON-T from tray 08001 at location 55,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000256,0003-PS-0800157,321ICECT0000256,ECON-T from tray 08001 at location 56,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000257,0003-PS-0800158,321ICECT0000257,ECON-T from tray 08001 at location 57,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000258,0003-PS-0800159,321ICECT0000258,ECON-T from tray 08001 at location 58,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000259,0003-PS-0800160,321ICECT0000259,ECON-T from tray 08001 at location 59,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000260,0003-PS-0800161,321ICECT0000260,ECON-T from tray 08001 at location 60,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000261,0003-PS-0800162,321ICECT0000261,ECON-T from tray 08001 at location 61,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000262,0003-PS-0800163,321ICECT0000262,ECON-T from tray 08001 at location 62,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000263,0003-PS-0800164,321ICECT0000263,ECON-T from tray 08001 at location 63,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000264,0003-PS-0800165,321ICECT0000264,ECON-T from tray 08001 at location 64,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000265,0003-PS-0800166,321ICECT0000265,ECON-T from tray 08001 at location 65,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000266,0003-PS-0800167,321ICECT0000266,ECON-T from tray 08001 at location 66,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000267,0003-PS-0800168,321ICECT0000267,ECON-T from tray 08001 at location 67,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000268,0003-PS-0800169,321ICECT0000268,ECON-T from tray 08001 at location 68,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000269,0003-PS-0800170,321ICECT0000269,ECON-T from tray 08001 at location 69,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000270,0003-PS-0800171,321ICECT0000270,ECON-T from tray 08001 at location 70,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000271,0003-PS-0800172,321ICECT0000271,ECON-T from tray 08001 at location 71,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000272,0003-PS-0800173,321ICECT0000272,ECON-T from tray 08001 at location 72,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000273,0003-PS-0800174,321ICECT0000273,ECON-T from tray 08001 at location 73,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000274,0003-PS-0800175,321ICECT0000274,ECON-T from tray 08001 at location 74,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000275,0003-PS-0800176,321ICECT0000275,ECON-T from tray 08001 at location 75,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000276,0003-PS-0800177,321ICECT0000276,ECON-T from tray 08001 at location 76,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000277,0003-PS-0800178,321ICECT0000277,ECON-T from tray 08001 at location 77,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000278,0003-PS-0800179,321ICECT0000278,ECON-T from tray 08001 at location 78,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000279,0003-PS-0800180,321ICECT0000279,ECON-T from tray 08001 at location 79,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000280,0003-PS-0800181,321ICECT0000280,ECON-T from tray 08001 at location 80,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000281,0003-PS-0800182,321ICECT0000281,ECON-T from tray 08001 at location 81,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000282,0003-PS-0800183,321ICECT0000282,ECON-T from tray 08001 at location 82,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000283,0003-PS-0800184,321ICECT0000283,ECON-T from tray 08001 at location 83,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000284,0003-PS-0800185,321ICECT0000284,ECON-T from tray 08001 at location 84,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000285,0003-PS-0800186,321ICECT0000285,ECON-T from tray 08001 at location 85,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000286,0003-PS-0800187,321ICECT0000286,ECON-T from tray 08001 at location 86,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000287,0003-PS-0800188,321ICECT0000287,ECON-T from tray 08001 at location 87,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000288,0003-PS-0800189,321ICECT0000288,ECON-T from tray 08001 at location 88,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-T,0000289,0003-PS-0800190,321ICECT0000289,ECON-T from tray 08001 at location 89,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
